threshold,tp_total,tp_kept,tp_demoted_or_dropped,tp_action_rate,kn_total,kn_kept,kn_demoted_or_dropped,kn_action_rate,partial_total,partial_kept,partial_demoted_or_dropped,unlabeled_total,unlabeled_kept,unlabeled_demoted_or_dropped,estimated_review_rows_removed
0.76,49,49,0,0.0,0,0,0,0.0,12,12,0,2080,1645,435,435
0.78,49,49,0,0.0,0,0,0,0.0,12,12,0,2080,1501,579,579
0.8,49,47,2,0.0408,0,0,0,0.0,12,12,0,2080,1398,682,684
0.82,49,43,6,0.1224,0,0,0,0.0,12,12,0,2080,1244,836,842
0.84,49,41,8,0.1633,0,0,0,0.0,12,12,0,2080,1097,983,991
0.86,49,37,12,0.2449,0,0,0,0.0,12,11,1,2080,927,1153,1166
0.88,49,27,22,0.449,0,0,0,0.0,12,9,3,2080,766,1314,1339
0.9,49,18,31,0.6327,0,0,0,0.0,12,7,5,2080,621,1459,1495
0.92,49,10,39,0.7959,0,0,0,0.0,12,4,8,2080,450,1630,1677
0.94,49,6,43,0.8776,0,0,0,0.0,12,3,9,2080,298,1782,1834
